case,initial_alpha,repeats,final_alpha_mean,miss_rate_mean,ai_work_mean,has_tardiness,mean_tardiness_mean,mean_tardiness_lo,mean_tardiness_hi,max_tardiness_mean,max_tardiness_lo,max_tardiness_hi,jitter_std_mean,jitter_std_lo,jitter_std_hi,resp_range_mean
1_14_8,0,5,24.0,0.0,115061.2,1,0.0,0.0,0.0,0.0,0,0,0.06596617996037421,0.0,0.13295111883696462,0.8
1_14_8,25,5,48.4,0.0008,149700.4,1,0.0012000000000000001,0.0,0.004,0.6,0,2,0.17771254278882936,0.07722693830524044,0.23942430954270366,2.4
1_14_8,50,5,61.8,0.0112,169392.0,1,0.02,0.006,0.06,2.4,1,5,0.5903521223532734,0.36386261143459075,0.7698415421370809,4.4
1_14_8,75,5,68.0,0.019999999999999997,198177.2,1,0.0332,0.014,0.068,2.8,2,4,0.7333505715089819,0.6221125300136633,0.8917936981163302,4.8
1_14_8,100,5,74.0,0.048799999999999996,212586.2,1,0.10840000000000001,0.028,0.234,4.2,2,7,1.0428585366020184,0.7444165500578281,1.4279201658356115,6.2
1_25_9,0,5,24.0,0.0,124203.6,1,0.0,0.0,0.0,0.0,0,0,0.05114650763896479,0.0,0.19261360284258602,0.6
1_25_9,25,5,43.2,0.0196,157350.2,1,0.236,0.0,1.176,4.8,0,23,1.0995865231973787,0.09949874371066655,4.727512665239512,6.6
1_25_9,50,5,57.2,0.0128,216024.8,1,0.014400000000000001,0.01,0.026,1.6,1,2,0.6522122676273885,0.5924153948033416,0.7376069413990081,3.6
1_25_9,75,5,46.0,0.035199999999999995,216910.4,1,0.06560000000000002,0.026,0.186,3.2,2,5,0.8467079923460856,0.6298698278215903,1.2664027795294834,5.2
1_25_9,100,5,51.0,0.148,218271.8,1,2.6848,1.41,3.542,33.2,26,37,7.824618841265602,5.229581627625675,9.629428851183231,35.2
