alpha,role,threads,tickets,n,ready_mean,ready_std,ready_min,ready_max,effective_mean,effective_std,effective_min,effective_max,run_ticks_mean,run_ticks_std,run_ticks_min,run_ticks_max,work_mean,work_std,work_min,work_max,jobs_mean,jobs_std,jobs_min,jobs_max,miss_mean,miss_std,miss_min,miss_max,miss_rate_mean,miss_rate_std,miss_rate_min,miss_rate_max,tick_share_mean,tick_share_std,tick_share_min,tick_share_max,work_share_mean,work_share_std,work_share_min,work_share_max,effective_share_mean,effective_share_std,effective_share_min,effective_share_max
0,ai,5,100,2,5.0,0.0,5.0,5.0,100.0,0.0,100.0,100.0,191.0,0.0,191.0,191.0,36818.0,515.0,36303.0,37333.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2916030534351145,0.0,0.2916030534351145,0.2916030534351145,0.6646546304377625,0.0006279984024969987,0.6640266320352655,0.6652826288402595,0.2222222222222222,0.0,0.2222222222222222,0.2222222222222222
0,ai,7,100,2,7.0,0.0,7.0,7.0,100.0,0.0,100.0,100.0,205.0,1.0,204.0,206.0,34777.5,1281.5,33496.0,36059.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3134587283588371,0.00200834667944777,0.3114503816793893,0.31546707503828486,0.6554092753877752,0.0055567222293085305,0.6498525531584666,0.6609659976170836,0.2222222222222222,0.0,0.2222222222222222,0.2222222222222222
0,ai,9,100,2,9.0,0.0,9.0,9.0,100.0,0.0,100.0,100.0,193.0,11.0,182.0,204.0,35970.0,5.0,35965.0,35975.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2955589586523737,0.016845329249617153,0.2787136294027565,0.3124042879019908,0.6580585169152844,0.0023223060589540045,0.6557362108563304,0.6603808229742384,0.2222222222222222,0.0,0.2222222222222222,0.2222222222222222
0,ai,14,100,3,14.0,0.0,14.0,14.0,100.0,0.0,100.0,100.0,195.66666666666666,4.642796092394707,191.0,202.0,35429.666666666664,1073.3114904609731,33924.0,36349.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.301025641025641,0.007142763219068761,0.29384615384615387,0.31076923076923074,0.6543852308352682,0.010646102913399413,0.6414309484193012,0.6675068574393951,0.2222222222222222,0.0,0.2222222222222222,0.2222222222222222
0,ai,25,100,3,25.0,0.0,25.0,25.0,100.0,0.0,100.0,100.0,186.33333333333334,12.498888839501783,177.0,204.0,34400.666666666664,1475.9951068874027,32401.0,35919.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2880991927204878,0.01858367354642838,0.2735703245749614,0.31432973805855163,0.6624233478230933,0.010003406063095957,0.6485089611065665,0.671592911182506,0.2222222222222222,0.0,0.2222222222222222,0.2222222222222222
0,control,1,300,12,1.0,0.0,1.0,1.0,300.0,0.0,300.0,300.0,370.5833333333333,8.606764135776517,360.0,390.0,0.0,0.0,0.0,0.0,150.0,0.0,150.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5691424337311122,0.014368397813691283,0.5511450381679389,0.5972434915773354,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.6666666666666666,0.6666666666666666
0,logger,2,50,2,2.0,0.0,2.0,2.0,50.0,0.0,50.0,50.0,94.0,1.0,93.0,95.0,18575.5,207.5,18368.0,18783.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1435114503816794,0.0015267175572519082,0.14198473282442747,0.1450381679389313,0.3353453695622375,0.0006279984024969709,0.33471737115974054,0.3359733679647345,0.1111111111111111,0.0,0.1111111111111111,0.1111111111111111
0,logger,3,50,2,3.0,0.0,3.0,3.0,50.0,0.0,50.0,50.0,88.5,1.5,87.0,90.0,18272.0,224.0,18048.0,18496.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13531791029073098,0.002086669861940782,0.1332312404287902,0.13740458015267176,0.34459072461222484,0.005556722229308558,0.3390340023829163,0.3501474468415334,0.1111111111111111,0.0,0.1111111111111111,0.1111111111111111
0,logger,4,50,2,4.0,0.0,4.0,4.0,50.0,0.0,50.0,50.0,85.0,4.0,81.0,89.0,18691.5,195.5,18496.0,18887.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13016845329249616,0.006125574272588051,0.12404287901990811,0.1362940275650842,0.34194148308471556,0.0023223060589540045,0.33961917702576155,0.34426378914366956,0.1111111111111111,0.0,0.1111111111111111,0.1111111111111111
0,logger,8,50,3,8.0,0.0,8.0,8.0,50.0,0.0,50.0,50.0,82.66666666666667,11.14550233153366,68.0,95.0,18705.333333333332,550.5617333435209,17940.0,19212.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12717948717948718,0.017146926663897943,0.10461538461538461,0.14615384615384616,0.3456147691647317,0.010646102913399413,0.3324931425606049,0.35856905158069885,0.1111111111111111,0.0,0.1111111111111111,0.1111111111111111
0,logger,9,50,3,9.0,0.0,9.0,9.0,50.0,0.0,50.0,50.0,86.66666666666667,7.71722460186015,76.0,94.0,17556.333333333332,1276.0894256368642,15844.0,18906.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13404690787578077,0.01219216594733148,0.11710323574730354,0.14528593508500773,0.33757665217690674,0.010003406063095948,0.32840708881749403,0.35149103889343347,0.1111111111111111,0.0,0.1111111111111111,0.1111111111111111
25,ai,5,100,2,5.0,0.0,5.0,5.0,100.0,0.0,100.0,100.0,197.0,8.0,189.0,205.0,35878.0,294.0,35584.0,36172.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3009839624623573,0.01199313677428393,0.2889908256880734,0.31297709923664124,0.6617701877739208,0.005843920492814791,0.655926267281106,0.6676141082667356,0.2222222222222222,0.0,0.2222222222222222,0.2222222222222222
25,ai,7,100,2,7.0,0.0,7.0,7.0,100.0,0.0,100.0,100.0,187.0,9.0,178.0,196.0,35419.0,2012.0,33407.0,37431.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28593272171253825,0.013761467889908258,0.27217125382262997,0.2996941896024465,0.6646275162063944,0.0016060419873652476,0.6630214742190291,0.6662335581937596,0.2222222222222222,0.0,0.2222222222222222,0.2222222222222222
25,ai,9,100,2,9.0,0.0,9.0,9.0,100.0,0.0,100.0,100.0,204.5,1.5,203.0,206.0,34660.5,218.5,34442.0,34879.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31316998468606433,0.002297090352220532,0.3108728943338438,0.31546707503828486,0.6577317052829235,0.004108901927702746,0.6536228033552207,0.6618406072106262,0.2222222222222222,0.0,0.2222222222222222,0.2222222222222222
25,ai,14,100,3,14.0,0.0,14.0,14.0,100.0,0.0,100.0,100.0,196.66666666666666,5.734883511361751,190.0,204.0,35861.666666666664,332.2231512435914,35595.0,36330.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30162548792998645,0.008418178982821805,0.29185867895545314,0.3124042879019908,0.6564694963651025,0.005701981184581097,0.6493068223276176,0.663258785942492,0.2222222222222222,0.0,0.2222222222222222,0.2222222222222222
25,ai,25,100,3,25.0,0.0,25.0,25.0,200.0,0.0,200.0,200.0,233.0,4.898979485566356,227.0,239.0,49386.333333333336,730.5415038783826,48380.0,50092.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3586409071154834,0.007318309822100186,0.349768875192604,0.3676923076923077,0.8114288805366423,0.004958104377261972,0.8074503062569889,0.8184184085256379,0.36363636363636365,0.0,0.36363636363636365,0.36363636363636365
25,control,1,300,12,1.0,0.0,1.0,1.0,300.0,0.0,300.0,300.0,362.0833333333333,12.730922546653439,344.0,388.0,0.0,0.0,0.0,0.0,150.0,0.0,150.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5550263647839367,0.01852226285634141,0.5292307692307693,0.5932721712538226,0.0,0.0,0.0,0.0,0.6363636363636364,0.0524863881081478,0.5454545454545454,0.6666666666666666
25,logger,2,50,2,2.0,0.0,2.0,2.0,50.0,0.0,50.0,50.0,89.5,6.5,83.0,96.0,18337.5,328.5,18009.0,18666.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13675327403879822,0.010035716786889845,0.1267175572519084,0.14678899082568808,0.33822981222607923,0.005843920492814791,0.33238589173326444,0.344073732718894,0.1111111111111111,0.0,0.1111111111111111,0.1111111111111111
