alpha,case,role,threads,tickets,n,ready_mean,ready_std,ready_min,ready_max,effective_mean,effective_std,effective_min,effective_max,run_ticks_mean,run_ticks_std,run_ticks_min,run_ticks_max,work_mean,work_std,work_min,work_max,jobs_mean,jobs_std,jobs_min,jobs_max,miss_mean,miss_std,miss_min,miss_max,miss_rate_mean,miss_rate_std,miss_rate_min,miss_rate_max,tick_share_mean,tick_share_std,tick_share_min,tick_share_max,work_share_mean,work_share_std,work_share_min,work_share_max,effective_share_mean,effective_share_std,effective_share_min,effective_share_max
0,1_14_8,ai,14,100,3,14.0,0.0,14.0,14.0,100.0,0.0,100.0,100.0,197.33333333333334,2.0548046676563256,195.0,200.0,34696.333333333336,1034.2547504792467,33582.0,36074.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30281555197446747,0.0033565363856358794,0.299079754601227,0.30721966205837176,0.6590787067266471,0.005031817946323546,0.6541544264316541,0.6659897102626591,0.2222222222222222,0.0,0.2222222222222222,0.2222222222222222
0,1_14_8,control,1,300,3,1.0,0.0,1.0,1.0,300.0,0.0,300.0,300.0,363.3333333333333,4.189935029992179,359.0,369.0,0.0,0.0,0.0,0.0,150.0,0.0,150.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5575416458555188,0.0061407239770047755,0.5514592933947773,0.5659509202453987,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.6666666666666666,0.6666666666666666
0,1_14_8,logger,8,50,3,8.0,0.0,8.0,8.0,50.0,0.0,50.0,50.0,91.0,2.160246899469287,88.0,93.0,17955.333333333332,796.4891015506043,17269.0,19072.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13964280217001374,0.003348099732083917,0.13496932515337423,0.14263803680981596,0.34092129327335285,0.0050318179463235205,0.3340102897373409,0.34584557356834583,0.1111111111111111,0.0,0.1111111111111111,0.1111111111111111
0,1_25_9,ai,25,100,3,25.0,0.0,25.0,25.0,100.0,0.0,100.0,100.0,192.66666666666666,3.858612300930075,189.0,198.0,34010.333333333336,1675.3788294658084,32153.0,36213.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.297810434083534,0.007055373836065885,0.2907692307692308,0.30745341614906835,0.6604193506994726,0.006911476124852286,0.6543541526751735,0.6700899300544021,0.2222222222222222,0.0,0.2222222222222222,0.2222222222222222
0,1_25_9,control,1,300,3,1.0,0.0,1.0,1.0,300.0,0.0,300.0,300.0,368.6666666666667,5.734883511361751,362.0,376.0,0.0,0.0,0.0,0.0,150.0,0.0,150.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.569803129245371,0.00818704776937778,0.562111801242236,0.5811437403400309,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.6666666666666666,0.6666666666666666
0,1_25_9,logger,9,50,3,9.0,0.0,9.0,9.0,50.0,0.0,50.0,50.0,85.66666666666667,5.436502143433364,80.0,93.0,17467.666666666668,355.6499527469235,16984.0,17829.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13238643667109495,0.008051141614682828,0.12364760432766615,0.14307692307692307,0.33958064930052745,0.006911476124852312,0.32991006994559785,0.3456458473248265,0.1111111111111111,0.0,0.1111111111111111,0.1111111111111111
0,1_5_2,ai,5,100,3,5.0,0.0,5.0,5.0,100.0,0.0,100.0,100.0,191.66666666666666,6.236095644623235,185.0,200.0,32146.666666666668,3934.6288544438626,26599.0,35294.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2929126689544086,0.009327625055102656,0.28287461773700306,0.3053435114503817,0.6648586354702676,0.00806225276358556,0.659059937064843,0.6762598198888676,0.2222222222222222,0.0,0.2222222222222222,0.2222222222222222
0,1_5_2,control,1,300,3,1.0,0.0,1.0,1.0,300.0,0.0,300.0,300.0,367.6666666666667,4.642796092394707,363.0,374.0,0.0,0.0,0.0,0.0,150.0,0.0,150.0,150.0,0.3333333333333333,0.4714045207910317,0.0,1.0,0.0022222222222222222,0.003142696805273545,0.0,0.006666666666666667,0.5618989814101517,0.007388340759576073,0.5541984732824428,0.5718654434250765,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.6666666666666666,0.6666666666666666
0,1_5_2,logger,2,50,3,2.0,0.0,2.0,2.0,50.0,0.0,50.0,50.0,95.0,5.715476066494082,90.0,103.0,16170.666666666666,1749.0731513830085,13760.0,17856.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14518834963543978,0.008777340016065682,0.13761467889908258,0.15749235474006115,0.3351413645297324,0.008062252763585508,0.3237401801111324,0.34094006293515694,0.1111111111111111,0.0,0.1111111111111111,0.1111111111111111
0,1_7_3,ai,7,100,3,7.0,0.0,7.0,7.0,100.0,0.0,100.0,100.0,198.33333333333334,7.542472332656507,193.0,209.0,32307.666666666668,1900.8963382806778,29622.0,33753.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3034135413105646,0.011439059252713862,0.29465648854961835,0.3195718654434251,0.6520211141747271,0.005993926272364352,0.644063891875288,0.658530078698146,0.2222222222222222,0.0,0.2222222222222222,0.2222222222222222
0,1_7_3,control,1,300,3,1.0,0.0,1.0,1.0,300.0,0.0,300.0,300.0,372.0,2.160246899469287,369.0,374.0,0.0,0.0,0.0,0.0,150.0,0.0,150.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5690940041751457,0.002428852395235684,0.5659509202453987,0.5718654434250765,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.6666666666666666,0.6666666666666666
0,1_7_3,logger,3,50,3,3.0,0.0,3.0,3.0,50.0,0.0,50.0,50.0,83.33333333333333,8.73053390247253,71.0,90.0,17266.333333333332,1373.1473174993116,15360.0,18540.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12749245451428975,0.013414351011053021,0.10856269113149847,0.13803680981595093,0.3479788858252729,0.00599392627236438,0.34146992130185405,0.35593610812471205,0.1111111111111111,0.0,0.1111111111111111,0.1111111111111111
0,1_9_4,ai,9,100,3,9.0,0.0,9.0,9.0,100.0,0.0,100.0,100.0,192.66666666666666,3.858612300930075,189.0,198.0,32917.0,2708.00627768844,29103.0,35124.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2951964662075618,0.0057705244507293245,0.2898773006134969,0.30321592649310875,0.6676240024736393,0.00211532039173136,0.6650746132224228,0.6702541790702999,0.2222222222222222,0.0,0.2222222222222222,0.2222222222222222
0,1_9_4,control,1,300,3,1.0,0.0,1.0,1.0,300.0,0.0,300.0,300.0,365.3333333333333,7.408703590297622,355.0,372.0,0.0,0.0,0.0,0.0,150.0,0.0,150.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5597580147627592,0.011494993723741534,0.5436447166921899,0.5696784073506891,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.6666666666666666,0.6666666666666666
