alpha,threads_case,role,threads,tickets,n,ready_mean,ready_std,ready_min,ready_max,effective_mean,effective_std,effective_min,effective_max,run_ticks_mean,run_ticks_std,run_ticks_min,run_ticks_max,work_mean,work_std,work_min,work_max,tick_share_mean,tick_share_std,tick_share_min,tick_share_max,work_share_mean,work_share_std,work_share_min,work_share_max,effective_share_mean,effective_share_std,effective_share_min,effective_share_max
0,1_2_3,0,1,100,5,1.0,0.0,1.0,1.0,100.0,0.0,100.0,100.0,219.0,7.183313998427188,210.0,228.0,37799.4,860.9361416504711,36288.0,38848.0,0.3343514510763148,0.010971300249021577,0.32061068702290074,0.3480916030534351,0.33253287702943596,0.0026176690062961784,0.32906313238780954,0.33711121846085246,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333
0,1_2_3,1,2,100,5,2.0,0.0,2.0,2.0,100.0,0.0,100.0,100.0,241.8,21.8577217477028,222.0,270.0,36545.4,1881.0220200731303,34392.0,39166.0,0.36915969042035124,0.033363202796181116,0.3394495412844037,0.4122137404580153,0.32145051266599245,0.013730096777874136,0.3028397833839651,0.3351962000941418,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333
0,1_2_3,2,3,100,5,3.0,0.0,3.0,3.0,100.0,0.0,100.0,100.0,194.2,28.756912212544655,158.0,219.0,39346.0,2189.187611877977,35935.0,41911.0,0.29648885850333395,0.04390509307428766,0.24122137404580152,0.33435114503816793,0.34601661030457165,0.015420149478602943,0.3323291540074458,0.36574648879496324,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333
0,1_3_5,0,1,100,5,1.0,0.0,1.0,1.0,100.0,0.0,100.0,100.0,223.8,15.341447128612085,198.0,239.0,36322.2,2025.9042820429597,32704.0,38955.0,0.3423726734467468,0.0229067133576478,0.30368098159509205,0.3643292682926829,0.3306001388160598,0.007397792927014226,0.3241773378002506,0.3436377009561837,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333
0,1_3_5,1,3,100,5,3.0,0.0,3.0,3.0,100.0,0.0,100.0,100.0,202.4,21.490463001061656,167.0,226.0,37417.2,3800.4456265022395,31134.0,43119.0,0.30968227122460296,0.03300087685619222,0.25535168195718655,0.34662576687116564,0.33944751657574296,0.012442709881200166,0.32714090574760957,0.360400193911837,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333
0,1_3_5,2,5,100,5,5.0,0.0,5.0,5.0,100.0,0.0,100.0,100.0,227.4,19.106019993708788,203.0,249.0,36296.8,2885.239081947976,31332.0,39080.0,0.3479450553286502,0.029500066932433653,0.3094512195121951,0.38073394495412843,0.3299523446081972,0.01223739993526975,0.3140034436067602,0.34392325970254334,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333
0,1_5_7,0,1,100,5,1.0,0.0,1.0,1.0,100.0,0.0,100.0,100.0,225.0,7.37563556583431,214.0,235.0,35571.4,880.9276020195985,34048.0,36609.0,0.3440295988131829,0.011027232991528696,0.327217125382263,0.35823170731707316,0.327937798715912,0.0037485760064954726,0.3246697049210514,0.3345174659561871,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333
0,1_5_7,1,5,100,5,5.0,0.0,5.0,5.0,100.0,0.0,100.0,100.0,227.6,14.840485167271318,208.0,253.0,35713.2,1728.5636117887013,33695.0,38464.0,0.34800223397629937,0.022547589924685987,0.31901840490797545,0.38685015290519875,0.32906418660351505,0.008860677528736177,0.31495649772130924,0.34177766325161496,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333
0,1_5_7,2,7,100,5,7.0,0.0,7.0,7.0,100.0,0.0,100.0,100.0,201.4,16.49969696691427,171.0,218.0,37201.6,1208.7369606328748,35516.0,39142.0,0.30796816721051773,0.025445865110306297,0.26146788990825687,0.3343558282208589,0.34299801468057295,0.00942569928151324,0.33292755529096063,0.36037379735763936,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333
0,2_6_11,0,2,100,5,2.0,0.0,2.0,2.0,100.0,0.0,100.0,100.0,237.2,14.034243834279067,225.0,262.0,35778.2,325.6644899279011,35456.0,36314.0,0.3635755593897134,0.021405442467764785,0.3440366972477064,0.4012251148545176,0.3202711395373983,0.006093924970376286,0.3085410076382995,0.3261598068289279,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333
0,2_6_11,1,6,100,5,6.0,0.0,6.0,6.0,100.0,0.0,100.0,100.0,211.0,9.055385138137417,202.0,228.0,37800.8,1115.7674309639979,36628.0,39616.0,0.3234041690771304,0.013447764969317063,0.3098159509202454,0.3486238532110092,0.33820672701380206,0.004052261567868948,0.3323503525120453,0.34374167959676455,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333
0,2_6_11,2,11,100,5,11.0,0.0,11.0,11.0,100.0,0.0,100.0,100.0,204.2,12.859237924542807,182.0,221.0,38184.0,1641.0953659065642,35954.0,41042.0,0.3130202715331562,0.020056572876844814,0.2787136294027565,0.33947772657450076,0.3415221334487996,0.007160473889478237,0.33009851357430753,0.3518418503373368,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333
