seq=305416656 drop_t=30091 rtx_t=30490 recovery=399ms
seq=305423656 drop_t=29940 rtx_t=30691 recovery=751ms
seq=305430656 drop_t=30892 rtx_t=30892 recovery=0ms
seq=305437656 drop_t=30053 rtx_t=31494 recovery=1441ms
seq=305450256 drop_t=30143 rtx_t=31695 recovery=1552ms
seq=305457256 drop_t=30191 rtx_t=31896 recovery=1705ms
seq=305464256 drop_t=30248 rtx_t=32097 recovery=1849ms
seq=305471256 drop_t=32298 rtx_t=32298 recovery=0ms
seq=305478256 drop_t=30359 rtx_t=32899 recovery=2540ms
seq=305483591 drop_t=30503 rtx_t=33100 recovery=2597ms
seq=305489191 drop_t=30692 rtx_t=33301 recovery=2609ms
seq=305500391 drop_t=33502 rtx_t=33502 recovery=0ms
seq=305505991 drop_t=31518 rtx_t=34104 recovery=2586ms
seq=305512991 drop_t=31581 rtx_t=34305 recovery=2724ms
seq=305516749 drop_t=35667 rtx_t=35868 recovery=201ms
seq=305523749 drop_t=35732 rtx_t=36074 recovery=342ms
seq=305530749 drop_t=35791 rtx_t=36288 recovery=497ms
seq=305537749 drop_t=36497 rtx_t=36497 recovery=0ms
seq=305543349 drop_t=35896 rtx_t=37098 recovery=1202ms
seq=305550349 drop_t=35943 rtx_t=37299 recovery=1356ms
seq=305557349 drop_t=36007 rtx_t=37501 recovery=1494ms
seq=305564349 drop_t=36058 rtx_t=37702 recovery=1644ms
seq=305569949 drop_t=36111 rtx_t=37903 recovery=1792ms
seq=305576949 drop_t=36159 rtx_t=38104 recovery=1945ms
seq=305583949 drop_t=38305 rtx_t=38305 recovery=0ms
seq=305590949 drop_t=36263 rtx_t=38906 recovery=2643ms
seq=305596284 drop_t=36297 rtx_t=39107 recovery=2810ms
seq=305607484 drop_t=36937 rtx_t=39308 recovery=2371ms
seq=305613084 drop_t=39509 rtx_t=39509 recovery=0ms
seq=305618684 drop_t=37323 rtx_t=40110 recovery=2787ms
seq=305582245 drop_t=41419 rtx_t=41624 recovery=205ms
seq=305589245 drop_t=41484 rtx_t=41834 recovery=350ms
seq=305596245 drop_t=41550 rtx_t=42039 recovery=489ms
seq=305603245 drop_t=42242 rtx_t=42242 recovery=0ms
seq=305608845 drop_t=41659 rtx_t=42843 recovery=1184ms
seq=305615845 drop_t=41710 rtx_t=43044 recovery=1334ms
seq=305622845 drop_t=43245 rtx_t=43245 recovery=0ms
seq=305629845 drop_t=41810 rtx_t=43846 recovery=2036ms
seq=305635445 drop_t=41865 rtx_t=44046 recovery=2181ms
seq=305642445 drop_t=41920 rtx_t=44249 recovery=2329ms
seq=305649445 drop_t=44449 rtx_t=44449 recovery=0ms
seq=305656445 drop_t=42031 rtx_t=45051 recovery=3020ms
seq=305662045 drop_t=42080 rtx_t=45252 recovery=3172ms
seq=305672980 drop_t=42682 rtx_t=45453 recovery=2771ms
seq=305678580 drop_t=45654 rtx_t=45654 recovery=0ms
seq=305656036 drop_t=47210 rtx_t=47411 recovery=201ms
seq=305663036 drop_t=47267 rtx_t=47615 recovery=348ms
seq=305670036 drop_t=47332 rtx_t=47832 recovery=500ms
seq=305677036 drop_t=48034 rtx_t=48034 recovery=0ms
seq=305682636 drop_t=47427 rtx_t=48635 recovery=1208ms
seq=305689636 drop_t=47484 rtx_t=48836 recovery=1352ms
seq=305696636 drop_t=47534 rtx_t=49037 recovery=1503ms
seq=305703636 drop_t=49237 rtx_t=49237 recovery=0ms
seq=305709236 drop_t=47647 rtx_t=49843 recovery=2196ms
seq=305716236 drop_t=47702 rtx_t=50047 recovery=2345ms
seq=305723236 drop_t=47757 rtx_t=50248 recovery=2491ms
seq=305730236 drop_t=50450 rtx_t=50450 recovery=0ms
seq=305735571 drop_t=47841 rtx_t=51051 recovery=3210ms
seq=305746771 drop_t=48468 rtx_t=51252 recovery=2784ms
seq=305752371 drop_t=48684 rtx_t=51453 recovery=2769ms
seq=305700728 drop_t=52723 rtx_t=52931 recovery=208ms
seq=305706430 drop_t=52784 rtx_t=53139 recovery=355ms
seq=305713430 drop_t=52839 rtx_t=53350 recovery=511ms
seq=305720430 drop_t=53553 rtx_t=53553 recovery=0ms
seq=305726030 drop_t=52949 rtx_t=54156 recovery=1207ms
seq=305733030 drop_t=53007 rtx_t=54357 recovery=1350ms
seq=305740030 drop_t=53059 rtx_t=54558 recovery=1499ms
seq=305747030 drop_t=53108 rtx_t=54759 recovery=1651ms
seq=305752630 drop_t=53150 rtx_t=54960 recovery=1810ms
seq=305759630 drop_t=55162 rtx_t=55162 recovery=0ms
seq=305766630 drop_t=53268 rtx_t=55769 recovery=2501ms
seq=305773630 drop_t=53321 rtx_t=55970 recovery=2649ms
seq=305779230 drop_t=53368 rtx_t=56171 recovery=2803ms
seq=305790165 drop_t=56372 rtx_t=56372 recovery=0ms
seq=305795765 drop_t=54198 rtx_t=56974 recovery=2776ms
seq=305801365 drop_t=54382 rtx_t=57177 recovery=2795ms
